SRR395323.3482430 3482430/2
SRR395323.3482431 3482431/2
SRR395323.3482432 3482432/2
SRR395323.3482433 3482433/2
SRR395323.3482434 3482434/2
SRR395323.3482435 3482435/2
SRR395323.3482436 3482436/2
SRR395323.3482437 3482437/2
SRR395323.3482438 3482438/2
SRR395323.3482439 3482439/2
SRR395323.3482440 3482440/2
SRR395323.3482441 3482441/2
SRR395323.3482442 3482442/2
SRR395323.3482443 3482443/2
SRR395323.3482444 3482444/2
SRR395323.3482445 3482445/2
SRR395323.3482446 3482446/2
SRR395323.3482447 3482447/2
SRR395323.3482448 3482448/2
SRR395323.3482449 3482449/2
SRR395323.3482450 3482450/2
SRR395323.3482451 3482451/2
SRR395323.3482452 3482452/2
SRR395323.3482453 3482453/2
SRR395323.3482454 3482454/2
SRR395323.3482455 3482455/2
SRR395323.3482456 3482456/2
SRR395323.3482457 3482457/2
SRR395323.3482458 3482458/2
SRR395323.3482459 3482459/2
SRR395323.3482460 3482460/2
SRR395323.3482461 3482461/2
SRR395323.3482462 3482462/2
SRR395323.3482463 3482463/2
SRR395323.3482464 3482464/2
SRR395323.3482465 3482465/2
SRR395323.3482466 3482466/2
SRR395323.3482467 3482467/2
SRR395323.3482468 3482468/2
SRR395323.3482469 3482469/2
SRR395323.3482470 3482470/2
SRR395323.3482471 3482471/2
SRR395323.3482472 3482472/2
SRR395323.3482473 3482473/2
SRR395323.3482474 3482474/2
SRR395323.3482475 3482475/2
SRR395323.3482476 3482476/2
SRR395323.3482477 3482477/2
SRR395323.3482478 3482478/2
SRR395323.3482479 3482479/2
SRR395323.3482480 3482480/2
SRR395323.3482481 3482481/2
SRR395323.3482482 3482482/2
SRR395323.3482483 3482483/2
SRR395323.3482484 3482484/2
SRR395323.3482485 3482485/2
SRR395323.3482486 3482486/2
SRR395323.3482487 3482487/2
SRR395323.3482488 3482488/2
SRR395323.3482489 3482489/2
SRR395323.3482490 3482490/2
SRR395323.3482491 3482491/2
SRR395323.3482492 3482492/2
SRR395323.3482493 3482493/2
SRR395323.3482494 3482494/2
SRR395323.3482495 3482495/2
SRR395323.3482496 3482496/2
SRR395323.3482497 3482497/2
SRR395323.3482498 3482498/2
SRR395323.3482499 3482499/2
SRR395323.3482500 3482500/2
SRR395323.3482501 3482501/2
SRR395323.3482502 3482502/2
SRR395323.3482503 3482503/2
SRR395323.3482504 3482504/2
SRR395323.3482505 3482505/2
SRR395323.3482506 3482506/2
SRR395323.3482507 3482507/2
SRR395323.3482508 3482508/2
SRR395323.3482509 3482509/2
SRR395323.3482510 3482510/2
SRR395323.3482511 3482511/2
SRR395323.3482512 3482512/2
SRR395323.3482513 3482513/2
SRR395323.3482514 3482514/2
SRR395323.3482515 3482515/2
SRR395323.3482516 3482516/2
SRR395323.3482517 3482517/2
SRR395323.3482518 3482518/2
SRR395323.3482519 3482519/2
SRR395323.3482520 3482520/2
SRR395323.3482521 3482521/2
SRR395323.3482522 3482522/2
SRR395323.3482523 3482523/2
SRR395323.3482524 3482524/2
SRR395323.3482525 3482525/2
SRR395323.3482526 3482526/2
SRR395323.3482527 3482527/2
SRR395323.3482528 3482528/2
SRR395323.3482529 3482529/2
SRR395323.3482530 3482530/2
SRR395323.3482531 3482531/2
SRR395323.3482532 3482532/2
