ERR243065.34471 HS9_09378:1:1102:21355:79928#36/1
ERR243065.34472 HS9_09378:1:1102:21356:61906#36/1
ERR243065.34473 HS9_09378:1:1102:21358:51127#36/1
ERR243065.34474 HS9_09378:1:1102:21358:66390#36/1
ERR243065.34478 HS9_09378:1:1103:1074:22589#36/1
ERR243065.34480 HS9_09378:1:1103:1079:33809#36/1
ERR243065.34481 HS9_09378:1:1103:1079:77464#36/1
ERR243065.34482 HS9_09378:1:1103:1080:75004#36/1
ERR243065.34483 HS9_09378:1:1103:1081:49067#36/1
ERR243065.34485 HS9_09378:1:1103:1086:90319#36/1
ERR243065.34486 HS9_09378:1:1103:1087:81950#36/1
ERR243065.34487 HS9_09378:1:1103:1087:84752#36/1
ERR243065.34489 HS9_09378:1:1103:1088:99361#36/1
ERR243065.34669 HS9_09378:1:1103:1469:99801#36/2
ERR243065.34864 HS9_09378:1:1103:1778:100827#36/1
ERR243065.35860 HS9_09378:1:1103:3168:3935#36/1
ERR243065.35956 HS9_09378:1:1103:3261:56281#36/1
ERR243065.37373 HS9_09378:1:1103:5045:39188#36/2
ERR243065.38063 HS9_09378:1:1103:5893:100865#36/1
ERR243065.39099 HS9_09378:1:1103:7138:47556#36/1
ERR243065.41420 HS9_09378:1:1103:9793:100835#36/1
ERR243065.41537 HS9_09378:1:1103:9919:100843#36/1
ERR243065.42377 HS9_09378:1:1103:10917:100845#36/1
ERR243065.42832 HS9_09378:1:1103:11447:100826#36/1
ERR243065.43702 HS9_09378:1:1103:12373:87794#36/2
ERR243065.44293 HS9_09378:1:1103:13077:3914#36/2
ERR243065.45587 HS9_09378:1:1103:14499:100839#36/1
ERR243065.45988 HS9_09378:1:1103:14944:2022#36/2
ERR243065.47061 HS9_09378:1:1103:16105:6937#36/1
ERR243065.47118 HS9_09378:1:1103:16174:37624#36/1
ERR243065.48105 HS9_09378:1:1103:17301:100843#36/1
ERR243065.48969 HS9_09378:1:1103:18246:100843#36/1
ERR243065.49128 HS9_09378:1:1103:18431:100840#36/1
ERR243065.50592 HS9_09378:1:1103:20127:100852#36/1
ERR243065.50761 HS9_09378:1:1103:20338:38126#36/1
ERR243065.50994 HS9_09378:1:1103:20643:100852#36/1
ERR243065.51196 HS9_09378:1:1103:20938:18539#36/2
ERR243065.51365 HS9_09378:1:1103:21199:4760#36/1
ERR243065.51366 HS9_09378:1:1103:21202:48218#36/1
ERR243065.51367 HS9_09378:1:1103:21203:9301#36/1
ERR243065.51368 HS9_09378:1:1103:21204:65996#36/1
ERR243065.51369 HS9_09378:1:1103:21207:66211#36/1
ERR243065.51370 HS9_09378:1:1103:21208:33026#36/1
ERR243065.51371 HS9_09378:1:1103:21208:48018#36/1
ERR243065.51372 HS9_09378:1:1103:21209:66954#36/1
ERR243065.51373 HS9_09378:1:1103:21209:78467#36/1
ERR243065.51374 HS9_09378:1:1103:21211:20450#36/1
ERR243065.51375 HS9_09378:1:1103:21212:42598#36/1
ERR243065.51376 HS9_09378:1:1103:21212:63816#36/1
ERR243065.51377 HS9_09378:1:1103:21219:97392#36/1
ERR243065.51378 HS9_09378:1:1103:21220:85029#36/1
ERR243065.51379 HS9_09378:1:1103:21221:84675#36/1
ERR243065.51380 HS9_09378:1:1103:21223:24503#36/1
ERR243065.51381 HS9_09378:1:1103:21223:39661#36/1
ERR243065.51382 HS9_09378:1:1103:21223:73555#36/1
ERR243065.51383 HS9_09378:1:1103:21223:92414#36/1
ERR243065.51384 HS9_09378:1:1103:21229:14602#36/1
ERR243065.51385 HS9_09378:1:1103:21230:31978#36/1
