SRR396143.2994704 D050VACXX110915:3:2308:20631:195191/3
SRR396143.2994705 D050VACXX110915:3:2308:5184:195196/3
SRR396143.2994706 D050VACXX110915:3:2308:2751:195200/3
SRR396143.2994707 D050VACXX110915:3:2308:19473:195201/3
SRR396143.2994708 D050VACXX110915:3:2308:16818:195202/3
SRR396143.2994709 D050VACXX110915:3:2308:15117:195203/3
SRR396143.2994710 D050VACXX110915:3:2308:20596:195203/3
SRR396143.2994711 D050VACXX110915:3:2308:4397:195213/3
SRR396143.2994712 D050VACXX110915:3:2308:13048:195214/3
SRR396143.2994713 D050VACXX110915:3:2308:17811:195214/3
SRR396143.2994714 D050VACXX110915:3:2308:13430:195215/3
SRR396143.2994715 D050VACXX110915:3:2308:10298:195216/3
SRR396143.2994716 D050VACXX110915:3:2308:10127:195219/3
SRR396143.2994717 D050VACXX110915:3:2308:17346:195220/3
SRR396143.2994718 D050VACXX110915:3:2308:4845:195223/3
SRR396143.2994719 D050VACXX110915:3:2308:6679:195224/3
SRR396143.2994720 D050VACXX110915:3:2308:3413:195226/3
SRR396143.2994721 D050VACXX110915:3:2308:20594:195227/3
SRR396143.2994722 D050VACXX110915:3:2308:5156:195228/3
SRR396143.2994723 D050VACXX110915:3:2308:12387:195229/3
SRR396143.2994724 D050VACXX110915:3:2308:18629:195229/3
SRR396143.2994725 D050VACXX110915:3:2308:11287:195231/3
SRR396143.2994726 D050VACXX110915:3:2308:8576:195237/3
SRR396143.2994727 D050VACXX110915:3:2308:19703:195240/3
SRR396143.2994728 D050VACXX110915:3:2308:15516:195246/3
SRR396143.2994729 D050VACXX110915:3:2308:7208:195248/3
SRR396143.2994730 D050VACXX110915:3:2308:18970:195250/3
SRR396143.2994731 D050VACXX110915:3:2308:10128:195258/3
SRR396143.2994732 D050VACXX110915:3:2308:18129:195259/3
SRR396143.2994733 D050VACXX110915:3:2308:20088:195269/3
SRR396143.2994734 D050VACXX110915:3:2308:13742:195270/3
SRR396143.2994735 D050VACXX110915:3:2308:5545:195271/3
SRR396143.2994736 D050VACXX110915:3:2308:10880:195271/3
SRR396143.2994737 D050VACXX110915:3:2308:13405:195271/3
SRR396143.2994738 D050VACXX110915:3:2308:8961:195272/3
SRR396143.2994739 D050VACXX110915:3:2308:3698:195274/3
SRR396143.2994740 D050VACXX110915:3:2308:10674:195275/3
SRR396143.2994741 D050VACXX110915:3:2308:19614:195279/3
SRR396143.2994742 D050VACXX110915:3:2308:13352:195280/3
SRR396143.2994743 D050VACXX110915:3:2308:5113:195282/3
SRR396143.2994744 D050VACXX110915:3:2308:5169:195285/3
SRR396143.2994745 D050VACXX110915:3:2308:16488:195286/3
SRR396143.2994746 D050VACXX110915:3:2308:14321:195287/3
SRR396143.2994747 D050VACXX110915:3:2308:21197:195291/3
SRR396143.2994748 D050VACXX110915:3:2308:3371:195297/3
SRR396143.2994749 D050VACXX110915:3:2308:7348:195297/3
SRR396143.2994750 D050VACXX110915:3:2308:20122:195300/3
SRR396143.2994751 D050VACXX110915:3:2308:4455:195301/3
SRR396143.2994752 D050VACXX110915:3:2308:15000:195303/3
SRR396143.2994753 D050VACXX110915:3:2308:9326:195312/3
SRR396143.2994754 D050VACXX110915:3:2308:11720:195314/3
SRR396143.2994755 D050VACXX110915:3:2308:3105:195315/3
SRR396143.2994756 D050VACXX110915:3:2308:17779:195315/3
SRR396143.2994757 D050VACXX110915:3:2308:16133:195318/3
SRR396143.2994758 D050VACXX110915:3:2308:7002:195319/3
SRR396143.2994759 D050VACXX110915:3:2308:20737:195320/3
SRR396143.2994760 D050VACXX110915:3:2308:18799:195330/3
SRR396143.2994761 D050VACXX110915:3:2308:10942:195332/3
SRR396143.2994762 D050VACXX110915:3:2308:1569:195333/3
SRR396143.2994763 D050VACXX110915:3:2308:7706:195338/3
SRR396143.2994764 D050VACXX110915:3:2308:2265:195340/3
SRR396143.2994765 D050VACXX110915:3:2308:14323:195340/3
SRR396143.2994766 D050VACXX110915:3:2308:16710:195349/3
SRR396143.2994767 D050VACXX110915:3:2308:6250:195350/3
SRR396143.2994768 D050VACXX110915:3:2308:21176:195351/3
SRR396143.2994769 D050VACXX110915:3:2308:2186:195359/3
SRR396143.2994770 D050VACXX110915:3:2308:15009:195362/3
SRR396143.2994771 D050VACXX110915:3:2308:19097:195363/3
SRR396143.2994772 D050VACXX110915:3:2308:8411:195364/3
SRR396143.2994773 D050VACXX110915:3:2308:16247:195365/3
SRR396143.2994774 D050VACXX110915:3:2308:15356:195368/3
SRR396143.2994775 D050VACXX110915:3:2308:10326:195369/3
SRR396143.2994776 D050VACXX110915:3:2308:3748:195377/3
SRR396143.2994777 D050VACXX110915:3:2308:4782:195380/3
SRR396143.2994778 D050VACXX110915:3:2308:4914:195382/3
SRR396143.2994779 D050VACXX110915:3:2308:14385:195387/3
SRR396143.2994780 D050VACXX110915:3:2308:19453:195387/3
SRR396143.2994781 D050VACXX110915:3:2308:8335:195390/3
SRR396143.2994782 D050VACXX110915:3:2308:12973:195391/3
SRR396143.2994783 D050VACXX110915:3:2308:14864:195393/3
SRR396143.2994784 D050VACXX110915:3:2308:14903:195394/3
SRR396143.2994785 D050VACXX110915:3:2308:18083:195396/3
SRR396143.2994786 D050VACXX110915:3:2308:4149:195397/3
SRR396143.2994787 D050VACXX110915:3:2308:7871:195399/3
SRR396143.2994788 D050VACXX110915:3:2308:7415:195400/3
SRR396143.2994789 D050VACXX110915:3:2308:17540:195401/3
SRR396143.2994790 D050VACXX110915:3:2308:21185:195401/3
SRR396143.2994791 D050VACXX110915:3:2308:10435:195403/3
SRR396143.2994792 D050VACXX110915:3:2308:6349:195407/3
SRR396143.2994793 D050VACXX110915:3:2308:19464:195408/3
SRR396143.2994794 D050VACXX110915:3:2308:17785:195412/3
SRR396143.2994795 D050VACXX110915:3:2308:16042:195413/3
SRR396143.2994796 D050VACXX110915:3:2308:7695:195416/3
SRR396143.2994797 D050VACXX110915:3:2308:5552:195417/3
SRR396143.2994798 D050VACXX110915:3:2308:8887:195417/3
SRR396143.2994799 D050VACXX110915:3:2308:6977:195419/3
SRR396143.2994800 D050VACXX110915:3:2308:17765:195419/3
SRR396143.2994801 D050VACXX110915:3:2308:17937:195420/3
SRR396143.2994802 D050VACXX110915:3:2308:2710:195422/3
SRR396143.2994803 D050VACXX110915:3:2308:9947:195422/3
SRR396143.2994804 D050VACXX110915:3:2308:6461:195423/3
SRR396143.2994805 D050VACXX110915:3:2308:9877:195423/3
SRR396143.2994806 D050VACXX110915:3:2308:12016:195423/3
SRR396143.2994807 D050VACXX110915:3:2308:4936:195424/3
SRR396143.2994808 D050VACXX110915:3:2308:7717:195424/3
SRR396143.2994809 D050VACXX110915:3:2308:7332:195426/3
SRR396143.2994810 D050VACXX110915:3:2308:18544:195429/3
SRR396143.2994811 D050VACXX110915:3:2308:20119:195441/3
SRR396143.2994812 D050VACXX110915:3:2308:10329:195443/3
SRR396143.2994813 D050VACXX110915:3:2308:10796:195450/3
SRR396143.2994814 D050VACXX110915:3:2308:8402:195451/3
SRR396143.2994815 D050VACXX110915:3:2308:13603:195455/3
SRR396143.2994816 D050VACXX110915:3:2308:19281:195455/3
SRR396143.2994817 D050VACXX110915:3:2308:1984:195462/3
SRR396143.2994819 D050VACXX110915:3:2308:12445:195469/3
